player_name,spy_prob,team,leader,mission_outcome,v1,v2,v3,v4,v5,spy
0-Paranoid,0.047619047619047616,1,1,0,1,2,2,2,2,0
1-rv19514,0.047619047619047616,0,0,0,1,2,2,2,2,0
2-Neighbor,0.047619047619047616,0,0,0,0,2,2,2,2,0
3-RandomBot,0.047619047619047616,1,0,0,0,2,2,2,2,0
4-Deceiver,0.047619047619047616,0,0,0,1,2,2,2,2,0
0-Paranoid,0.09523809523809523,0,0,0,1,0,0,2,2,0
1-rv19514,0.047619047619047616,0,0,0,1,1,0,2,2,0
2-Neighbor,0.09523809523809523,1,1,0,0,0,1,2,2,0
3-RandomBot,0.09523809523809523,1,0,0,0,0,1,2,2,0
4-Deceiver,0.09523809523809523,1,0,0,1,1,1,2,2,0
0-Paranoid,0.19047619047619047,1,1,0,1,0,0,0,0,0
1-rv19514,0.047619047619047616,0,0,0,1,1,0,1,1,0
2-Neighbor,0.11428571428571428,0,0,0,0,0,1,0,0,0
3-RandomBot,0.1619047619047619,0,0,0,0,0,1,0,0,0
4-Deceiver,0.1619047619047619,1,0,0,1,1,1,1,0,0
0-RuleFollower,0.047619047619047616,1,1,0,1,2,2,2,2,0
1-Deceiver,0.047619047619047616,1,0,0,1,2,2,2,2,0
2-Neighbor,0.047619047619047616,0,0,0,0,2,2,2,2,0
3-rv19514,0.047619047619047616,0,0,0,1,2,2,2,2,0
4-Paranoid,0.047619047619047616,0,0,0,0,2,2,2,2,0
0-RuleFollower,0.09523809523809523,1,0,0,1,1,2,2,2,0
1-Deceiver,0.09523809523809523,1,1,0,1,1,2,2,2,0
2-Neighbor,0.047619047619047616,0,0,0,0,0,2,2,2,0
3-rv19514,0.047619047619047616,1,0,0,1,1,2,2,2,0
4-Paranoid,0.047619047619047616,0,0,0,0,0,2,2,2,0
0-RuleFollower,0.14285714285714285,0,0,1,1,1,0,2,2,0
1-Deceiver,0.14285714285714285,0,0,1,1,1,1,2,2,0
2-Neighbor,0.047619047619047616,1,1,1,0,0,1,2,2,0
3-rv19514,0.047619047619047616,1,0,1,1,1,1,2,2,0
4-Paranoid,0.047619047619047616,0,0,1,0,0,0,2,2,0
0-RuleFollower,0.14285714285714285,0,0,0,1,1,0,1,2,0
1-Deceiver,0.14285714285714285,1,0,0,1,1,1,1,2,0
2-Neighbor,0.3333333333333333,0,0,0,0,0,1,0,2,0
3-rv19514,0.047619047619047616,1,1,0,1,1,1,1,2,0
4-Paranoid,0.047619047619047616,1,0,0,0,0,0,0,2,0
0-rv19514,0.047619047619047616,0,0,0,1,0,1,2,2,1
1-Neighbor,0.02857142857142857,0,0,0,0,1,0,2,2,0
2-Paranoid,0.0380952380952381,1,1,0,0,0,1,2,2,0
3-Deceiver,0.047619047619047616,0,0,0,1,1,1,2,2,0
4-RandomBot,0.047619047619047616,1,0,0,0,0,0,2,2,1
0-rv19514,0.047619047619047616,1,0,0,1,0,1,1,1,1
1-Neighbor,0.02857142857142857,0,0,0,0,1,0,0,0,0
2-Paranoid,0.08571428571428572,1,0,0,0,0,1,0,0,0
3-Deceiver,0.047619047619047616,1,0,0,1,1,1,1,1,0
4-RandomBot,0.09523809523809523,0,1,0,0,0,0,0,1,1
0-rv19514,0.047619047619047616,0,0,1,1,0,1,1,1,1
1-Neighbor,0.0761904761904762,1,0,1,0,1,0,0,0,0
